eventid,date,1st,2nd,3rd,4th,5th,joker
2060,10/10/2019,31,23.0,4.0,20.0,42.0,1
2059,06/10/2019,31,3.0,4.0,39.0,11.0,8
2058,03/10/2019,19,4.0,11.0,9.0,7.0,14
2057,29/9/2019,40,12.0,13.0,37.0,8.0,15
2056,26/9/2019,44,20.0,23.0,5.0,40.0,18
2055,22/9/2019,24,39.0,23.0,4.0,40.0,6
2054,19/9/2019,20,31.0,27.0,38.0,39.0,4
2053,15/9/2019,9,14.0,28.0,31.0,8.0,19
2052,12/9/2019,45,20.0,33.0,19.0,43.0,19
2051,08/9/2019,11,8.0,25.0,18.0,14.0,3
2050,05/9/2019,3,1.0,18.0,16.0,17.0,15
2049,01/9/2019,7,37.0,32.0,16.0,21.0,20
2048,29/8/2019,43,26.0,2.0,9.0,45.0,12
2047,25/8/2019,15,5.0,8.0,1.0,33.0,12
2046,22/8/2019,35,16.0,19.0,8.0,44.0,7
2045,18/8/2019,18,8.0,36.0,11.0,2.0,2
2044,14/8/2019,10,38.0,8.0,23.0,45.0,15
2043,11/8/2019,9,25.0,6.0,30.0,39.0,4
2042,08/8/2019,9,30.0,12.0,23.0,44.0,15
2041,04/8/2019,27,5.0,34.0,10.0,7.0,11
2040,01/8/2019,30,42.0,24.0,35.0,22.0,11
2039,28/7/2019,13,44.0,37.0,12.0,36.0,19
2038,25/7/2019,20,22.0,45.0,2.0,13.0,5
2037,21/7/2019,14,34.0,16.0,45.0,3.0,7
2036,18/7/2019,33,23.0,36.0,7.0,29.0,5
2035,14/7/2019,14,29.0,7.0,27.0,35.0,12
2034,11/7/2019,10,20.0,1.0,45.0,32.0,19
2033,07/7/2019,20,9.0,32.0,27.0,39.0,15
2032,04/7/2019,25,18.0,42.0,13.0,43.0,1
2031,30/6/2019,34,28.0,30.0,38.0,39.0,19
2030,27/6/2019,7,19.0,41.0,31.0,1.0,19
2029,23/6/2019,21,12.0,39.0,15.0,17.0,16
2028,20/6/2019,32,44.0,16.0,41.0,7.0,2
2027,16/6/2019,15,20.0,36.0,8.0,39.0,9
2026,13/6/2019,4,37.0,11.0,10.0,16.0,3
2025,9/6/2019,43,41.0,45.0,9.0,31.0,13
2024,6/6/2019,20,30.0,5.0,23.0,24.0,9
2023,2/6/2019,30,28.0,18.0,40.0,13.0,14
2022,30/5/2019,9,7.0,1.0,34.0,15.0,1
2021,26/5/2019,17,11.0,31.0,32.0,18.0,12
2020,23/5/2019,36,29.0,28.0,4.0,5.0,15
2019,19/5/2019,25,9.0,32.0,3.0,21.0,12
2018,16/5/2019,40,4.0,37.0,26.0,20.0,15
2017,12/5/2019,3,45.0,15.0,17.0,14.0,1
2016,9/5/2019,12,3.0,15.0,19.0,14.0,12
2015,5/5/2019,19,20.0,28.0,34.0,5.0,1
2014,2/5/2019,1,38.0,19.0,9.0,8.0,5
2013,27/4/2019,13,33.0,44.0,2.0,10.0,15
2012,24/4/2019,42,26.0,27.0,10.0,1.0,7
2011,21/4/2019,16,28.0,4.0,6.0,27.0,18
